ID002	491.0944
ID003	461.7776
ID004	451.5656
ID005	366.7838
ID006	421.546
ID007	557.6586
ID008	424.184
ID009	429.2464
ID010	441.0132
ID011	491.534
ID012	417.426
ID013	562.6
ID014	514.0534
ID015	416.7366
ID016	470.4836
ID017	403.659
ID018	457.8362
ID019	118.8326
ID020	460.178
ID021	553.567
ID022	537.3668
ID023	517.993
ID024	463.5184
ID026	464.0864
ID027	575.7304
ID028	501.3688
ID029	397.9314
ID030	530.1976
ID031	466.5924
ID033	498.9076
ID034	480.3942
ID035	480.532
ID036	470.3706
ID037	440.731
ID038	541.25
ID039	462.351
ID040	549.3024
ID041	397.8734
ID042	199.6398
ID043	413.342
ID044	530.4036
ID045	169.3342
ID046	484.4448
ID047	486.9386
ID048	458.5944
ID049	472.826
ID050	517.0612
ID051	113.9976
ID052	463.5924
ID053	564.0262
ID054	449.7934
ID055	499.6244
ID056	555.1
ID057	511.2422
ID058	538.0358
ID059	449.851
ID060	385.6956
ID061	561.96
ID062	436.7584
ID063	510.246
ID064	546.353
ID065	552.8432
ID066	424.6904
ID067	386.3286
ID068	530.0786
ID069	531.9716
ID070	465.067
ID071	409.1904
ID072	451.999
ID073	515.8686
ID074	480.976
ID075	566.532
ID076	249.7252
ID077	540.3744
ID078	531.2402
ID079	523.3958
ID080	518.4076
ID081	531.0358
ID082	568.1
ID083	460.4232
ID084	468.227
ID085	544.2888
ID086	481.9876
ID087	327.2854
ID088	489.6372
ID089	559.5826
ID090	582.5572
ID091	533.1124
ID092	483.8844
ID093	507.322
ID094	462.1196
ID095	497.781
ID096	305.0692
ID097	388.3458
ID098	522.1
ID099	491.6278
ID100	549.3998
ID101	481.0534
ID102	406.5576
ID103	501.7888
ID104	435.2094
ID105	498.5612
ID106	111.5
ID107	543.4386
ID108	484.8394
ID109	466.8394
ID110	424.7602
ID111	472.3744
ID112	431.7626
ID113	493.7422
ID114	449.1372
ID115	533.0748
ID116	450.7248
ID117	508.18
ID118	568.7868
ID119	457.606
ID120	524.4504
ID121	458.381
ID122	11.5
ID123	536.3082
ID124	447.0342
ID125	463.7642
ID126	489.0324
ID127	491.2422
ID128	504.962
ID129	484.9328
ID130	492.4058
ID131	491.6
ID132	310.0614
ID133	514.1488
ID134	489.8708
ID135	383.06
ID136	449.2388
ID137	473.8824
ID138	496.97
ID139	408.206
ID140	451.0846
ID141	514.2674
ID142	478.3846
ID143	488.5
ID144	461.6722
ID145	492.684
ID146	482.466
ID147	498.941
ID148	394.1496
ID149	466.6102
ID150	508.5846
ID151	545.8644
